Hz	s	Accuracy	Avg_Precision	Avg_F_Measure	Avg_Recall	Precision	F_Measure	Recall
5	2	0.8436274509803922	0.851884554394295	0.8426612134768546	0.8436274509803922	"[0.74202128 0.9141791  0.8677686  0.87671233 0.84168865 0.97590361
 0.73684211 0.52941176 0.35       0.72       0.73913043 0.59259259]"	"[0.83532934 0.8462867  0.82677165 0.84768212 0.86216216 0.97885196
 0.59574468 0.5        0.4375     0.69230769 0.5        0.61538462]"	"[0.95547945 0.78778135 0.78947368 0.82051282 0.88365651 0.98181818
 0.5        0.47368421 0.58333333 0.66666667 0.37777778 0.64      ]"
5	3	0.8505154639175257	0.8579000439605856	0.8476507803619919	0.8505154639175257	"[0.7875     0.82648402 0.94244604 0.85106383 0.84745763 0.9623431
 0.81818182 0.72727273 0.56       0.52631579 0.61111111 0.92307692]"	"[0.85909091 0.87439614 0.79393939 0.82687339 0.85470085 0.97457627
 0.75       0.61538462 0.57142857 0.68965517 0.56410256 0.63157895]"	"[0.945      0.92820513 0.68586387 0.8040201  0.86206897 0.98712446
 0.69230769 0.53333333 0.58333333 1.         0.52380952 0.48      ]"
5	5	0.873015873015873	0.8764511055710804	0.8726830948834609	0.873015873015873	"[0.95454545 0.92241379 0.8125     0.8442623  0.86624204 0.97761194
 0.75       0.71428571 0.66666667 0.81818182 0.48       0.9       ]"	"[0.91304348 0.9106383  0.88510638 0.81422925 0.86624204 0.98127341
 0.75       0.625      0.54545455 0.75       0.54545455 0.9       ]"	"[0.875      0.89915966 0.97196262 0.78625954 0.86624204 0.98496241
 0.75       0.55555556 0.46153846 0.69230769 0.63157895 0.9       ]"
5	10	0.8296296296296296	0.8284848601200803	0.8265046978058936	0.8296296296296296	"[0.90384615 0.75384615 0.73584906 0.92063492 0.81818182 0.95454545
 0.         0.66666667 0.5        0.5        0.5        1.        ]"	"[0.8952381  0.79032258 0.71559633 0.87878788 0.8630137  0.97674419
 0.         0.5        0.36363636 0.54545455 0.47058824 0.85714286]"	"[0.88679245 0.83050847 0.69642857 0.84057971 0.91304348 1.
 0.         0.4        0.28571429 0.6        0.44444444 0.75      ]"
5	1	0.8042146532712571	0.8098340454636944	0.8022493183056841	0.8042146532712571	"[0.71095153 0.88487585 0.66378066 0.84911243 0.86428571 0.96551724
 0.48837209 0.84615385 0.59259259 0.5        0.42622951 0.54901961]"	"[0.71480144 0.76338851 0.75533662 0.85671642 0.85815603 0.97902098
 0.47727273 0.61111111 0.53781513 0.46846847 0.39097744 0.52830189]"	"[0.71869328 0.67123288 0.87619048 0.86445783 0.85211268 0.9929078
 0.46666667 0.47826087 0.49230769 0.44067797 0.36111111 0.50909091]"
10	1	0.8576329331046312	0.8642483161894958	0.8562154119292746	0.8576329331046312	"[0.75671853 0.95219124 0.94130435 0.87687188 0.81795196 0.96275862
 0.5        0.92307692 0.64583333 0.57407407 0.55263158 0.68085106]"	"[0.85055644 0.88029466 0.87918782 0.83320158 0.86209194 0.97622378
 0.49438202 0.66666667 0.54867257 0.54867257 0.56756757 0.62745098]"	"[0.97096189 0.81849315 0.8247619  0.7936747  0.91126761 0.99007092
 0.48888889 0.52173913 0.47692308 0.52542373 0.58333333 0.58181818]"
10	2	0.8941176470588236	0.8936096595521111	0.8925584687113386	0.8941176470588236	"[0.92384106 0.94736842 0.91481481 0.88888889 0.84754522 0.9704142
 0.8125     0.625      0.44444444 0.72       0.66666667 0.67857143]"	"[0.93939394 0.93658537 0.92164179 0.85333333 0.87700535 0.98203593
 0.59090909 0.57142857 0.47058824 0.69230769 0.61904762 0.71698113]"	"[0.95547945 0.92604502 0.92857143 0.82051282 0.90858726 0.99393939
 0.46428571 0.52631579 0.5        0.66666667 0.57777778 0.76      ]"
10	3	0.8976435935198822	0.901700811390921	0.896241405954681	0.8976435935198822	"[0.94818653 0.95628415 0.85321101 0.87692308 0.87763713 0.98305085
 0.75       0.8        0.71428571 0.52941176 0.51724138 0.92857143]"	"[0.93129771 0.92592593 0.90953545 0.8680203  0.8869936  0.98933902
 0.72       0.64       0.52631579 0.66666667 0.6        0.66666667]"	"[0.915      0.8974359  0.97382199 0.85929648 0.89655172 0.99570815
 0.69230769 0.53333333 0.41666667 0.9        0.71428571 0.52      ]"
10	5	0.8864468864468864	0.8880457743248285	0.8844481716221728	0.8864468864468864	"[0.95833333 0.93859649 0.89565217 0.88034188 0.81142857 0.96350365
 0.875      1.         0.66666667 0.75       0.52631579 0.9       ]"	"[0.95833333 0.91845494 0.92792793 0.83064516 0.85542169 0.97777778
 0.7        0.61538462 0.64       0.72       0.52631579 0.9       ]"	"[0.95833333 0.89915966 0.96261682 0.78625954 0.9044586  0.9924812
 0.58333333 0.44444444 0.61538462 0.69230769 0.52631579 0.9       ]"
10	10	0.8666666666666667	0.8640790211280895	0.8623152939246761	0.8666666666666667	"[0.98076923 0.79411765 0.91836735 0.9047619  0.79487179 0.94029851
 0.         0.66666667 0.6        0.5        0.57142857 1.        ]"	"[0.97142857 0.8503937  0.85714286 0.86363636 0.84353741 0.96923077
 0.         0.5        0.5        0.44444444 0.5        1.        ]"	"[0.96226415 0.91525424 0.80357143 0.82608696 0.89855072 1.
 0.         0.4        0.42857143 0.4        0.44444444 1.        ]"
50	1	0.9076206812055869	0.907781824547857	0.9064614299012245	0.9076206812055869	"[0.87961477 0.97959184 0.97465887 0.88955224 0.89943343 0.97218359
 0.54901961 0.83333333 0.62711864 0.60377358 0.66666667 0.62068966]"	"[0.93356048 0.94033838 0.96339114 0.89355322 0.89689266 0.98174157
 0.58333333 0.65789474 0.59677419 0.57142857 0.60606061 0.63716814]"	"[0.99455535 0.90410959 0.95238095 0.89759036 0.8943662  0.99148936
 0.62222222 0.54347826 0.56923077 0.54237288 0.55555556 0.65454545]"
50	2	0.928921568627451	0.9294925243388124	0.928051716248451	0.928921568627451	"[0.96621622 0.98006645 0.94945848 0.91558442 0.90983607 0.97321429
 0.72       0.9375     0.4516129  0.73076923 0.78571429 0.7       ]"	"[0.97278912 0.96405229 0.96869245 0.90967742 0.91609354 0.98198198
 0.67924528 0.85714286 0.50909091 0.71698113 0.60273973 0.76363636]"	"[0.97945205 0.94855305 0.9887218  0.90384615 0.92243767 0.99090909
 0.64285714 0.78947368 0.58333333 0.7037037  0.48888889 0.84      ]"
50	3	0.9241531664212077	0.9275218922717376	0.9230741289315537	0.9241531664212077	"[0.91627907 0.96354167 0.96907216 0.90452261 0.91304348 0.99130435
 0.76923077 1.         0.65217391 0.5        0.55       0.93333333]"	"[0.94939759 0.95607235 0.97662338 0.90452261 0.90909091 0.98488121
 0.76923077 0.63636364 0.63829787 0.66666667 0.53658537 0.7       ]"	"[0.985      0.94871795 0.98429319 0.90452261 0.90517241 0.97854077
 0.76923077 0.46666667 0.625      1.         0.52380952 0.56      ]"
50	5	0.905982905982906	0.9119476517300101	0.904851712044693	0.905982905982906	"[0.88888889 0.96428571 0.95454545 0.85611511 0.91666667 0.98507463
 0.66666667 1.         1.         0.7        0.55172414 0.8       ]"	"[0.94117647 0.93506494 0.96774194 0.88148148 0.87707641 0.98876404
 0.66666667 0.71428571 0.63157895 0.60869565 0.66666667 0.8       ]"	"[1.         0.90756303 0.98130841 0.90839695 0.84076433 0.9924812
 0.66666667 0.55555556 0.46153846 0.53846154 0.84210526 0.8       ]"
50	10	0.8987654320987655	0.904644332782882	0.895020401183443	0.8987654320987655	"[0.98113208 0.81818182 0.90566038 0.86842105 0.95081967 0.95454545
 0.5        1.         1.         0.6        0.63636364 1.        ]"	"[0.98113208 0.864      0.88073394 0.91034483 0.89230769 0.97674419
 0.5        0.57142857 0.44444444 0.6        0.7        1.        ]"	"[0.98113208 0.91525424 0.85714286 0.95652174 0.84057971 1.
 0.5        0.4        0.28571429 0.6        0.77777778 1.        ]"
25	1	0.8990443518745406	0.9003775219043303	0.8977024828369239	0.8990443518745406	"[0.91016949 0.98852772 0.92391304 0.90705128 0.86737401 0.96944444
 0.49090909 0.81818182 0.60714286 0.52857143 0.58823529 0.65957447]"	"[0.94127958 0.93405601 0.94707521 0.87888199 0.89344262 0.97964912
 0.54       0.52941176 0.56198347 0.57364341 0.57142857 0.60784314]"	"[0.97459165 0.88527397 0.97142857 0.85240964 0.92112676 0.99007092
 0.6        0.39130435 0.52307692 0.62711864 0.55555556 0.56363636]"
25	2	0.9200980392156862	0.9208948139413801	0.9185839609277752	0.9200980392156862	"[0.98611111 0.97087379 0.95571956 0.93031359 0.8680203  0.96755162
 0.72222222 0.66666667 0.41176471 0.8        0.66666667 0.68965517]"	"[0.97931034 0.96774194 0.96461825 0.89148581 0.90596026 0.98056801
 0.56521739 0.7        0.48275862 0.68085106 0.53333333 0.74074074]"	"[0.97260274 0.96463023 0.97368421 0.85576923 0.94736842 0.99393939
 0.46428571 0.73684211 0.58333333 0.59259259 0.44444444 0.8       ]"
25	3	0.9248895434462445	0.9251252006581406	0.9224710840355276	0.9248895434462445	"[0.95588235 0.9787234  0.9223301  0.89371981 0.92951542 0.97446809
 0.75       0.88888889 0.64705882 0.69230769 0.51851852 0.84615385]"	"[0.96534653 0.96083551 0.95717884 0.91133005 0.91938998 0.97863248
 0.72       0.66666667 0.53658537 0.7826087  0.58333333 0.57894737]"	"[0.975      0.94358974 0.9947644  0.92964824 0.90948276 0.98283262
 0.69230769 0.53333333 0.45833333 0.9        0.66666667 0.44      ]"
25	5	0.9108669108669109	0.9110724095560453	0.9095013355988564	0.9108669108669109	"[0.95       0.95121951 1.         0.86821705 0.88050314 0.98507463
 0.81818182 1.         0.45454545 0.66666667 0.5        0.88888889]"	"[0.96938776 0.96694215 0.99056604 0.86153846 0.88607595 0.98876404
 0.7826087  0.61538462 0.41666667 0.64       0.53658537 0.84210526]"	"[0.98958333 0.98319328 0.98130841 0.85496183 0.89171975 0.9924812
 0.75       0.44444444 0.38461538 0.61538462 0.57894737 0.8       ]"
25	10	0.8938271604938272	0.8968427648197873	0.8885828483185421	0.8938271604938272	"[1.         0.93877551 0.79104478 0.93846154 0.86075949 0.94029851
 0.5        1.         0.75       0.5        0.6        1.        ]"	"[0.98076923 0.85185185 0.86178862 0.91044776 0.91891892 0.96923077
 0.66666667 0.57142857 0.54545455 0.44444444 0.42857143 1.        ]"	"[0.96226415 0.77966102 0.94642857 0.88405797 0.98550725 1.
 1.         0.4        0.42857143 0.4        0.33333333 1.        ]"
